ANH_absolute_monarchy;Duchy of Anhalt;;;;;;;;;;;;;x
ANH_prussian_constitutionalism;Duchy of Anhalt;;;;;;;;;;;;;x
ANH_hms_government;Duchy of Anhalt;;;;;;;;;;;;;x
ANH_democracy;Free State of Anhalt;;;;;;;;;;;;;x
ANH_presidential_dictatorship;Free State of Anhalt;;;;;;;;;;;;;x
ANH_bourgeois_dictatorship;Free State of Anhalt;;;;;;;;;;;;;x
ANH_proletarian_dictatorship;Worker's Republic of Anhalt;;;;;;;;;;;;;x
ANH_fascist_dictatorship;Free State of Anhalt;;;;;;;;;;;;;x
;;;;;;;;;;;;;x
AUS_absolute_monarchy;Austrian Empire;;;;;;;;;;;;x;
AUS_prussian_constitutionalism;Austrian Empire;;;;;;;;;;;;x;
AUS_hms_government;Austrian Empire;;;;;;;;;;;;x;
AUS_democracy;Federal Republic of Austria;;;;;;;;;;;;x;
AUS_bourgeois_dictatorship;Federal Republic of Austria;;;;;;;;;;;;x;
AUS_presidential_dictatorship;Federal Republic of Austria;;;;;;;;;;;;x;
AUS_fascist_dictatorship;Republic of Austria;;;;;;;;;;;;x;
AUS_proletarian_dictatorship;People's Republic of Austria;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
BAD_absolute_monarchy;Grand Duchy of Baden;;;;;;;;;;;;x;
BAD_prussian_constitutionalism;Grand Duchy of Baden;;;;;;;;;;;;x;
BAD_hms_government;Grand Duchy of Baden;;;;;;;;;;;;x;
BAD_democracy;Free State of Baden;;;;;;;;;;;;x;
BAD_bourgeois_dictatorship;Free State of Baden;;;;;;;;;;;;x;
BAD_presidential_dictatorship;Free State of Baden;;;;;;;;;;;;x;
BAD_fascist_dictatorship;Common Republic of Baden;;;;;;;;;;;;x;
BAD_proletarian_dictatorship;People's Republic of Baden;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
BAV_absolute_monarchy;Kingdom of Bavaria;;;;;;;;;;;;x;
BAV_prussian_constitutionalism;Kingdom of Bavaria;;;;;;;;;;;;x;
BAV_hms_government;Kingdom of Bavaria;;;;;;;;;;;;x;
BAV_democracy;Free State of Bavaria;;;;;;;;;;;;x;
BAV_bourgeois_dictatorship;Free State of Bavaria;;;;;;;;;;;;x;
BAV_presidential_dictatorship;Free State of Bavaria;;;;;;;;;;;;x;
BAV_fascist_dictatorship;Free State of Bavaria;;;;;;;;;;;;x;
BAV_proletarian_dictatorship;Socialist Republic of Bavaria;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
BRA_absolute_monarchy;Duchy of Brunswick;;;;;;;;;;;;x;
BRA_prussian_constitutionalism;Duchy of Brunswick;;;;;;;;;;;;x;
BRA_hms_government;Duchy of Brunswick;;;;;;;;;;;;x;
BRA_democracy;Free State of Brunswick;;;;;;;;;;;;x;
BRA_bourgeois_dictatorship;Free State of Brunswick;;;;;;;;;;;;x;
BRA_presidential_dictatorship;Free State of Brunswick;;;;;;;;;;;;x;
BRA_fascist_dictatorship;Free State of Brunswick;;;;;;;;;;;;x;
BRA_proletarian_dictatorship;Socialist Republic of Brunswick;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
BRE_absolute_monarchy;Hansiatic City of Bremen;;;;;;;;;;;;x;
BRE_prussian_constitutionalism;Hansiatic City of Bremen;;;;;;;;;;;;x;
BRE_hms_government;Hansiatic City of Bremen;;;;;;;;;;;;x;
BRE_democracy;Free Hanseatic City of Bremen;;;;;;;;;;;;x;
BRE_bourgeois_dictatorship;Free Hanseatic City of Bremen;;;;;;;;;;;;x;
BRE_presidential_dictatorship;Free Hanseatic City of Bremen;;;;;;;;;;;;x;
BRE_fascist_dictatorship;United Hanseatic City of Bremen;;;;;;;;;;;;x;
BRE_proletarian_dictatorship;Socialist Republic of Bremen;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
BOH_absolute_monarchy;Kingdom of Bohemia;;;;;;;;;;;;x;
BOH_prussian_constitutionalism;Kingdom of Bohemia;;;;;;;;;;;;x;
BOH_hms_government;Kingdom of Bohemia;;;;;;;;;;;;x;
BOH_democracy;Czech Republic;;;;;;;;;;;;x;
BOH_bourgeois_dictatorship;Czech Republic;;;;;;;;;;;;x;
BOH_presidential_dictatorship;Czech Republic;;;;;;;;;;;;x;
BOH_fascist_dictatorship;Czech Republic;;;;;;;;;;;;x;
BOH_proletarian_dictatorship;Czech Socialist Republic;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
BYZ_absolute_monarchy;Byzantine Empire;;;;;;;;;;;;;x
BYZ_prussian_constitutionalism;Byzantine Empire;;;;;;;;;;;;;x
BYZ_hms_government;United Kingdom of Byzantium;;;;;;;;;;;;;x
BYZ_democracy;Republic of Byzantium;;;;;;;;;;;;;x
BYZ_presidential_dictatorship;Republic of Byzantium;;;;;;;;;;;;;x
BYZ_bourgeois_dictatorship;Republic of Byzantium;;;;;;;;;;;;;x
BYZ_proletarian_dictatorship;Socialist Republic of Byzantium;;;;;;;;;;;;;x
BYZ_fascist_dictatorship;Roman Republic of Byzantium;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
CAL_absolute_monarchy;Kingdom of California;;;;;;;;;;;;x;
CAL_prussian_constitutionalism;Kingdom of California;;;;;;;;;;;;x;
CAL_hms_government;Kingdom of California;;;;;;;;;;;;x;
CAL_democracy;Republic of California;;;;;;;;;;;;x;
CAL_bourgeois_dictatorship;Republic of California;;;;;;;;;;;;;x;
CAL_presidential_dictatorship;Republic of California;;;;;;;;;;;;x;
CAL_fascist_dictatorship;Great Republic of California;;;;;;;;;;;;;x;
CAL_proletarian_dictatorship;People's Republic of California;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
CAN_absolute_monarchy;Kingdom of Canada;;;;;;;;;;;;x;
CAN_prussian_constitutionalism;Kingdom of Canada;;;;;;;;;;;;x;
CAN_hms_government;Dominion of Canada;;;;;;;;;;;;x;
CAN_democracy;Republic of Canada;;;;;;;;;;;;x;
CAN_bourgeois_dictatorship;Republic of Canada;;;;;;;;;;;;x;
CAN_presidential_dictatorship;Republic of Canada;;;;;;;;;;;;x;
CAN_fascist_dictatorship;National Republic of Canada;;;;;;;;;;;;x;
CAN_proletarian_dictatorship;Federal Socialist Union of Canada;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
CAT_absolute_monarchy;Principality of Catalonia;;;;;;;;;;;;;x
CAT_prussian_constitutionalism;Principality of Catalonia;;;;;;;;;;;;;x
CAT_hms_government;Principality of Catalonia;;;;;;;;;;;;;x
CAT_democracy;Commonwealth of Catalonia;;;;;;;;;;;;;x
CAT_presidential_dictatorship;Commmonwealth of Catalonia;;;;;;;;;;;;;x
CAT_bourgeois_dictatorship;Commonwealth of Catalonia;;;;;;;;;;;;;x
CAT_proletarian_dictatorship;People's Republic of Catalonia;;;;;;;;;;;;;x
CAT_fascist_dictatorship;Nationalist State of Catalonia;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
CHI_absolute_monarchy;Chinese Empire;;;;;;;;;;;;x;
CHI_prussian_constitutionalism;Chinese Empire;;;;;;;;;;;;x;
CHI_hms_government;Chinese Empire;;;;;;;;;;;;x;
CHI_democracy;Republic of China;;;;;;;;;;;;x;
CHI_bourgeois_dictatorship;Republic of China;;;;;;;;;;;;x;
CHI_presidential_dictatorship;Republic of China;;;;;;;;;;;;x;
CHI_fascist_dictatorship;Nationalist Republic of China;;;;;;;;;;;;x;
CHI_proletarian_dictatorship;People's Republic of China;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
COB_absolute_monarchy;Duchy of Saxe-Coburg-Gotha;;;;;;;;;;;;x;
COB_prussian_constitutionalism;Duchy of Saxe-Coburg-Gotha;;;;;;;;;;;;x;
COB_hms_government;Principality Saxe-Coburg-Gotha;;;;;;;;;;;;x;
COB_democracy;Free State of Saxe-Coburg-Gotha;;;;;;;;;;;;x;
COB_bourgeois_dictatorship;Free State of Saxe-Coburg-Gotha;;;;;;;;;;;;x;
COB_presidential_dictatorship;Free State of Saxe-Coburg-Gotha;;;;;;;;;;;;x;
COB_fascist_dictatorship;Free State of Saxe-Coburg-Gotha;;;;;;;;;;;;x;
COB_proletarian_dictatorship;Workers' and Soldiers' Council of Gotha;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
COL_absolute_monarchy;Empire of British Columbia;;;;;;;;;;;;x;
COL_prussian_constitutionalism;Kingdom of Columbia;;;;;;;;;;;;x;
COL_hms_government;Dominion of British Columbia;;;;;;;;;;;;x;
COL_democracy;Republic of Columbia;;;;;;;;;;;;x;
COL_bourgeois_dictatorship;Republic of Columbia;;;;;;;;;;;;;x;
COL_presidential_dictatorship;Republic of Columbia;;;;;;;;;;;;x;
COL_fascist_dictatorship;Nationalist Republic of Columbia;;;;;;;;;;;;x;
COL_proletarian_dictatorship;People's Republic of Columbia;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
CZH_absolute_monarchy;Kingdom of Czechoslovakia;;;;;;;;;;;;x;
CZH_prussian_constitutionalism;Kingdom of Czechoslovakia;;;;;;;;;;;;x;
CZH_hms_government;Kingdom of Czechoslovakia;;;;;;;;;;;;x;
CZH_democracy;Federative Republic of Czechoslovakia;;;;;;;;;;;;x;
CZH_bourgeois_dictatorship;Federative Republic of Czechoslovakia;;;;;;;;;;;;x;
CZH_presidential_dictatorship;Federative Republic of Czechoslovakia;;;;;;;;;;;;x;
CZH_fascist_dictatorship;National Republic of Czechslovakia;;;;;;;;;;;;x;
CZH_proletarian_dictatorship;Czechoslovak Socialist Republic;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
DEN_absolute_monarchy;Kingdom of Denmark;;;;;;;;;;;;x;
DEN_prussian_constitutionalism;Kingdom of Denmark;;;;;;;;;;;;x;
DEN_hms_government;Kingdom of Denmark;;;;;;;;;;;;x;
DEN_democracy;Republic of Denmark;;;;;;;;;;;;x;
DEN_bourgeois_dictatorship;Republic of Denmark;;;;;;;;;;;;;x;
DEN_presidential_dictatorship;Republic of Denmark;;;;;;;;;;;;x;
DEN_fascist_dictatorship;Social Republic of Denmark;;;;;;;;;;;;x;
DEN_proletarian_dictatorship;People's Republic of Denmark;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
ENG_absolute_monarchy;United Kingdom of Great Britain;;;;;;;;;;;;x;
ENG_prussian_constitutionalism;United Kingdom of Great Britain;;;;;;;;;;;;x;
ENG_hms_government;United Kingdom of Great Britain;;;;;;;;;;;;x;
ENG_democracy;Commonwealth of Great Britain;;;;;;;;;;;;x;
ENG_bourgeois_dictatorship;Republic of Great Britain;;;;;;;;;;;;;x;
ENG_presidential_dictatorship;Commonwealth of Great Britain;;;;;;;;;;;;x;
ENG_fascist_dictatorship;National Republic of Great Britain;;;;;;;;;;;;;x;
ENG_proletarian_dictatorship;Worker's Commonwealth of Great Britain;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
FRA_absolute_monarchy;Kingdom of France;;;;;;;;;;;;x;
FRA_prussian_constitutionalism;French Empire;;;;;;;;;;;;x;
FRA_hms_government;French Empire;;;;;;;;;;;;x;
FRA_democracy;French Republic;;;;;;;;;;;;x;
FRA_bourgeois_dictatorship;Republic of France;;;;;;;;;;;;;x;
FRA_presidential_dictatorship;French Republic;;;;;;;;;;;;x;
FRA_fascist_dictatorship;Vichy Republic of France;;;;;;;;;;;;;x;
FRA_proletarian_dictatorship;People's Republic of France;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
GER_absolute_monarchy;German Empire;;;;;;;;;;;;x;
GER_prussian_constitutionalism;German Empire;;;;;;;;;;;;x;
GER_hms_government;German Empire;;;;;;;;;;;;x;
GER_democracy;Federal Republic of Germany;;;;;;;;;;;;x;
GER_bourgeois_dictatorship;Federal Republic of Germany;;;;;;;;;;;;;x;
GER_presidential_dictatorship;Federal Republic of Germany;;;;;;;;;;;;x;
GER_fascist_dictatorship;Nazi Germany;;;;;;;;;;;;x;
GER_proletarian_dictatorship;Democratic Republic of Germany;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
GRE_absolute_monarchy;Kingdom of Greece;;;;;;;;;;;;x;
GRE_prussian_constitutionalism;Kingdom of Greece;;;;;;;;;;;;x;
GRE_hms_government;Kingdom of Greece;;;;;;;;;;;;x;
GRE_democracy;Republic of Greece;;;;;;;;;;;;x;
GRE_bourgeois_dictatorship;Republic of Greece;;;;;;;;;;;;x;
GRE_presidential_dictatorship;Republic of Greece;;;;;;;;;;;;x;
GRE_fascist_dictatorship;Social Republic of Greece;;;;;;;;;;;;x;
GRE_proletarian_dictatorship;Hellenic Republic of Greece;;;;;;;;;;;;x;
;;;;;;;;;;;;;;x
HAN_absolute_monarchy;Kingdom of Hanover;;;;;;;;;;;;;x
HAN_prussian_constitutionalism;Kingdom of Hanover;;;;;;;;;;;;;x
HAN_hms_government;Kingdom of Hanover;;;;;;;;;;;;;x
HAN_democracy;Free State of Hanover;;;;;;;;;;;;;x
HAN_presidential_dictatorship;Free State of Hanover;;;;;;;;;;;;;x
HAN_bourgeois_dictatorship;Free State of Hanover;;;;;;;;;;;;;x
HAN_fascist_dictatorship;Electorate of Brunswick-Lüneburg;;;;;;;;;;;;;x
HAN_proletarian_dictatorship;Worker's Commune of Hanover;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
HAM_absolute_monarchy;Hansiatic City of Hamburg;;;;;;;;;;;;x;
HAM_prussian_constitutionalism;Hansiatic City of Hamburg;;;;;;;;;;;;x;
HAM_hms_government;Hansiatic City of Hamburg;;;;;;;;;;;;x;
HAM_democracy;Free City-State of Hamburg;;;;;;;;;;;;x;
HAM_bourgeois_dictatorship;Free City-State of Hamburg;;;;;;;;;;;;x;
HAM_presidential_dictatorship;Free City-State of Hamburg;;;;;;;;;;;;x;
HAM_fascist_dictatorship;Free State of Hamburg;;;;;;;;;;;;x;
