;;;;;;;;;;;;;x
D01;$REGION$;;Das Kˆnigreich von $REGION$;;;;;;;;x;;;
D01_ADJ;$REGION$;;kˆnigstreu;;;;;;;;x;;;
D02;The Confederation of $REGION$;;Die Konfˆderation von $REGION$;;;;;;;;x;;;
D02_ADJ;$REGION$;;konfˆderiert;;;;;;;;x;;;
D03;Commonwealth of $REGION$;;Commonwealth von $REGION$;;;;;;;;x;;;
D03_ADJ;Commonwealth;;Commonwealth-;;;;;;;;x;;;
D04;$REGION$;;Die Republik von $REGION$;;;;;;;;x;;;
D04_ADJ;$REGION$;;republikanisch;;;;;;;;x;;;
D05;$REGION$ Free State;;Der $REGION$-Staat;;;;;;;;x;;;
D05_ADJ;$REGION$;;staatlich;;;;;;;;x;;;
D06;$REGION$;;Die Volksrepublik von $REGION$;;;;;;;;x;;;
D06_ADJ;$REGION$;;republikanisch;;;;;;;;x;;;
D07;The Free State of $REGION$;;Der Freistaat von $REGION$;;;;;;;;x;;;
D07_ADJ;$REGION$;;freistaatlich;;;;;;;;x;;;
D08;$REGION$;;Der Groﬂstaat von $REGION$;;;;;;;;x;;;
D08_ADJ;$REGION$;;groﬂstaatlich;;;;;;;;x;;;
D09;$REGION$;;Der Staat von $REGION$;;;;;;;;x;;;
D09_ADJ;$REGION$;;staatlich;;;;;;;;x;;;
D10;$REGION$;;Das F¸rstentum von $REGION$;;;;;;;;x;;;
D10_ADJ;$REGION$;;f¸rstlich;;;;;;;;x;;;
D11;$REGION$;;Die Demokratische Republik von $REGION$;;;;;;;;x;;;
D11_ADJ;$REGION$;;depublikanisch;;;;;;;;x;;;
D12;The $REGION$ Union;;Die $REGION$-Union;;;;;;;;x;;;
D12_ADJ;$REGION$;;Unions-;;;;;;;;x;;;
D13;$REGION$;;Das $REGION$-Kˆnigreich;;;;;;;;x;;;
D13_ADJ;$REGION$;;kˆnigstreu;;;;;;;;x;;;
D14;The Dominion of $REGION$;;Das Dominion von $REGION$;;;;;;;;x;;;
D14_ADJ;Dominion;;Dominions-;;;;;;;;x;;;
D15;$REGION$;;Das Groﬂherzogtum von $REGION$;;;;;;;;x;;;
D15_ADJ;$REGION$;;groﬂherzogstreu;;;;;;;;x;;;
D16;The $REGION$ Commonwealth;;Die $REGION$-Nation;;;;;;;;x;;;
D16_ADJ;$REGION$;;national;;;;;;;;x;;;
D17;The $REGION$ Federation;;Die $REGION$-Fˆderation;;;;;;;;x;;;
D17_ADJ;$REGION$;;Fˆderations-;;;;;;;;x;;;
D18;The United States of $REGION$;;Die Vereinigten Staaten von $REGION$;;;;;;;;x;;;
D18_ADJ;$REGION$;;Unions-;;;;;;;;x;;;
D19;The Union of $REGION$;;Die Demokratische Union von $REGION$;;;;;;;;x;;;
D19_ADJ;$REGION$;;Unions-;;;;;;;;x;;;
D20;$REGION$;;Das F¸rstentum von $REGION$;;;;;;;;x;;;
D20_ADJ;$REGION$;;f¸rstlich;;;;;;;;x;;;
D21;$REGION$;;Die Union von $REGION$;;;;;;;;x;;;
